"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"STT3BUS","196213","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196313","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196413","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196513","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196613","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196713","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196813","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","196913","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197013","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197113","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197213","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197313","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197413","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197513","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197613","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197713","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197813","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","197913","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198013","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198113","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198213","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198313","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198413","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198513","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198613","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198713","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198813","Not Available","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","198913","0.1","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199013","0.114","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199113","0.127","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199213","0.14","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199313","0.153","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199413","0.172","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199513","0.196","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199613","0.226","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199713","0.253","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199813","0.286","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","199913","0.332","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200013","0.377","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200113","0.456","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200213","0.54","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200313","0.631","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200413","0.782","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200513","1.172","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200613","1.71","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200713","2.414","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200813","3.88","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","200913","5.215","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201013","8.225","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201113","13.052","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201213","20.987","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201313","27.745","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201413","38.326","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201513","48.243","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201613","64.188","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201713","81.855","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201813","100.788","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STT3BUS","201913","119.559","2","Distributed Solar Energy, Transformed Into Electricity","Trillion Btu"
"STFJBUS","194913","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195013","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195113","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195213","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195313","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195413","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195513","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"STFJBUS","195613","Not Available","3","Distributed Solar Energy, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
