"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Missouri : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MO-99.A",-266,-159,-254,115,86,48,383,545,567,888,114,33,296,19,348,179,100,47,337
"Missouri : other","thousand megawatthours","ELEC.GEN.OTH-MO-99.A",54,58,124,110,70,54,37,24,27,32,21,20,16,26,58,9,4,1,0
"Missouri : all solar",,"ELEC.GEN.TSN-MO-99.A",,,,,,,,,,,,,,,,,,,
"Missouri : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",113,145,167,204,232,294
"Missouri : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MO-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",9,17,33,56,91,106
"Nebraska",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Nebraska : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NE-99.A",30485,31618,30456,32009,31465,31670,32443,32374,34002,36630,36095,34217,37105,39431,39883,36525,35407,36966,37215
"Nebraska : coal","thousand megawatthours","ELEC.GEN.COW-NE-99.A",20239,19944,20954,20457,20818,20683,19630,21480,23350,23363,25965,25019,26767,24922,24185,21898,21174,23305,20343
"Nebraska : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NE-99.A",28,21,49,22,31,19,36,35,23,31,37,23,43,43,6,-18,6,12,19
"Nebraska : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : natural gas","thousand megawatthours","ELEC.GEN.NG-NE-99.A",349,413,381,297,803,759,1110,758,312,375,426,770,437,406,431,538,629,965,1217
"Nebraska : other gases","thousand megawatthours","ELEC.GEN.OOG-NE-99.A","--",0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : nuclear","thousand megawatthours","ELEC.GEN.NUC-NE-99.A",8726,10122,7997,10241,8802,9003,11042,9479,9435,11054,6933,5802,6865,10102,10325,9351,6913,5632,6952
"Nebraska : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NE-99.A",1124,1097,980,913,871,893,347,346,434,1314,1617,1257,1124,1158,1685,856,1489,1382,1160
"Nebraska : other renewables",,"ELEC.GEN.AOR-NE-99.A",,,,,,,,,,,,,,,,,,,
"Nebraska : wind","thousand megawatthours","ELEC.GEN.WND-NE-99.A",3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5084,5549,7414
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,15,27,32
"Nebraska : geothermal","thousand megawatthours","ELEC.GEN.GEO-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : biomass","thousand megawatthours","ELEC.GEN.BIO-NE-99.A",17,13,56,40,43,52,61,61,66,72,65,63,67,64,71,98,97,93,79
"Nebraska : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nebraska : other","thousand megawatthours","ELEC.GEN.OTH-NE-99.A",0,0,0,0,"--","--","--","--","--","--","--","--",0,0,0,0,0,0,0
"Nebraska : all solar",,"ELEC.GEN.TSN-NE-99.A",,,,,,,,,,,,,,,,,,,
"Nebraska : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,3,5,11,15
"Nebraska : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",4,15,27,32
"North Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"North Dakota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-ND-99.A",30332,31306,31322,29936,31933,30881,31224,32735,34196,34740,35080,36125,35022,36463,37157,37856,41505,42615,40188
"North Dakota : coal","thousand megawatthours","ELEC.GEN.COW-ND-99.A",28877,29612,29427,28064,30259,28879,29164,29672,29607,28462,27109,28214,27478,27394,27734,26580,26756,27541,25248
"North Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-ND-99.A",48,39,52,38,34,42,51,49,45,38,42,33,33,26,26,30,36,38,34
"North Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-ND-99.A",3,8,9,9,8,7,17,-0,17,16,20,22,54,234,711,1071,676,1019,1245
"North Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-ND-99.A",65,55,50,58,59,59,53,0,44,36,39,35,42,40,39,40,42,51,50
"North Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-ND-99.A",1332,1593,1724,1546,1342,1521,1305,1253,1475,2042,2580,2477,1852,2531,2094,1912,2582,3180,2801
"North Dakota : other renewables",,"ELEC.GEN.AOR-ND-99.A",,,,,,,,,,,,,,,,,,,
"North Dakota : wind","thousand megawatthours","ELEC.GEN.WND-ND-99.A","--","--",59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,11359,10733,10754
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-ND-99.A",8,0,1,6,10,4,14,13,12,12,10,6,5,3,4,6,2,1,3
"North Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Dakota : other","thousand megawatthours","ELEC.GEN.OTH-ND-99.A","--","--","--",0,"--","--",1,54,0,37,44,64,38,31,42,45,51,52,54
"North Dakota : all solar",,"ELEC.GEN.TSN-ND-99.A",,,,,,,,,,,,,,,,,,,
"North Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,1
"North Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-ND-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"South Dakota : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-SD-99.A",7401,7722,7944,7510,6521,7132,6137,7083,8197,10050,11999,11473,10109,10995,9633,11524,10936,12616,12613
"South Dakota : coal","thousand megawatthours","ELEC.GEN.COW-SD-99.A",3612,3272,3431,3620,2996,3316,2655,3660,3217,3298,2586,2919,2849,2689,1495,2083,2062,2339,2617
"South Dakota : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-SD-99.A",52,5,16,23,21,5,63,23,8,6,8,6,7,7,17,3,3,6,10
"South Dakota : petroleum coke","thousand megawatthours","ELEC.GEN.PC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : natural gas","thousand megawatthours","ELEC.GEN.NG-SD-99.A",305,86,176,112,271,266,351,229,80,135,129,214,502,465,773,919,654,1168,1350
"South Dakota : other gases","thousand megawatthours","ELEC.GEN.OOG-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : nuclear","thousand megawatthours","ELEC.GEN.NUC-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-SD-99.A",3432,4354,4276,3598,3075,3397,2917,2993,4432,5239,6608,5981,4063,5498,4850,4806,5256,6266,5620
"South Dakota : other renewables",,"ELEC.GEN.AOR-SD-99.A",,,,,,,,,,,,,,,,,,,
"South Dakota : wind","thousand megawatthours","ELEC.GEN.WND-SD-99.A",1,6,44,158,158,149,150,145,421,1372,2668,2354,2688,2336,2498,3714,2958,2835,3015
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,2,2,"NM"
"South Dakota : geothermal","thousand megawatthours","ELEC.GEN.GEO-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : biomass","thousand megawatthours","ELEC.GEN.BIO-SD-99.A","--","--","--","--","--","--","--",2,6,0,0,0,0,0,0,0,0,0,0
"South Dakota : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Dakota : other","thousand megawatthours","ELEC.GEN.OTH-SD-99.A","--","--","--",0,0,0,0,31,31,0,0,0,0,0,0,0,"--",0,0
"South Dakota : all solar",,"ELEC.GEN.TSN-SD-99.A",,,,,,,,,,,,,,,,,,,
"South Dakota : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",0,1,1,1,1,1
"South Dakota : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-SD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,2,2,"NM"
"South Atlantic",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Delaware",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Delaware : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-DE-99.A",6808,6002,7392,7856,8137,7182,8534,7524,4842,5628,6590,8634,7761,7704,7810,8731,7496,6241,5144
"Delaware : coal","thousand megawatthours","ELEC.GEN.COW-DE-99.A",3369,3464,4026,4744,4833,4969,5622,5267,2848,2568,1455,1423,1545,865,599,479,359,273,119
"Delaware : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DE-99.A",1682,898,1649,1104,1220,132,241,219,258,56,38,22,23,183,154,63,25,201,42
"Delaware : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DE-99.A",24,52,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Delaware : natural gas","thousand megawatthours","ELEC.GEN.NG-DE-99.A",1575,1443,1464,1718,1591,1171,1902,1387,1376,2865,4731,6815,5931,6297,6689,7787,6723,5400,4679
"Delaware : other gases","thousand megawatthours","ELEC.GEN.OOG-DE-99.A",157,146,185,290,493,910,721,476,227,0,208,244,155,226,238,277,271,252,194
"Delaware : nuclear","thousand megawatthours","ELEC.GEN.NUC-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : other renewables",,"ELEC.GEN.AOR-DE-99.A",,,,,,,,,,,,,,,,,,,
"Delaware : wind","thousand megawatthours","ELEC.GEN.WND-DE-99.A","--","--","--","--","--","--","--","--","--",3,5,4,4,5,5,5,5,5,5
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-99.A","--","--","--","--","--","--","--","--","--","--",8,23,45,50,49,51,50,50,52
"Delaware : geothermal","thousand megawatthours","ELEC.GEN.GEO-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : biomass","thousand megawatthours","ELEC.GEN.BIO-DE-99.A","--","--","--","--","--",0,48,163,126,136,145,105,57,76,76,68,63,59,52
"Delaware : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Delaware : other","thousand megawatthours","ELEC.GEN.OTH-DE-99.A","--","--","--","--","--","--","--",11,6,0,0,"--","--","--","--","--","--","--","--"
"Delaware : all solar",,"ELEC.GEN.TSN-DE-99.A",,,,,,,,,,,,,,,,,,,
"Delaware : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DE-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",71,79,67,92,110,124
"Delaware : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DE-99.A","--","--","--","--","--","--","--","--","--","--",8,23,45,50,49,51,50,50,52
"District Of Columbia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"District Of Columbia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-DC-99.A",123,262,74,36,226,81,75,72,35,200,201,72,66,68,54,76,67,79,95
"District Of Columbia : coal","thousand megawatthours","ELEC.GEN.COW-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-DC-99.A",123,262,74,36,226,81,75,72,35,200,130,9,0,0,0,1,0,0,0
"District Of Columbia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : natural gas","thousand megawatthours","ELEC.GEN.NG-DC-99.A","--","--","--","--","--","--","--","--","--","--",71,62,66,68,23,23,20,23,26
"District Of Columbia : other gases","thousand megawatthours","ELEC.GEN.OOG-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : nuclear","thousand megawatthours","ELEC.GEN.NUC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : other renewables",,"ELEC.GEN.AOR-DC-99.A",,,,,,,,,,,,,,,,,,,
"District Of Columbia : wind","thousand megawatthours","ELEC.GEN.WND-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14
"District Of Columbia : geothermal","thousand megawatthours","ELEC.GEN.GEO-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : biomass","thousand megawatthours","ELEC.GEN.BIO-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,53,47,57,55
"District Of Columbia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : other","thousand megawatthours","ELEC.GEN.OTH-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"District Of Columbia : all solar",,"ELEC.GEN.TSN-DC-99.A",,,,,,,,,,,,,,,,,,,
"District Of Columbia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",31,32,32,52,71,85
"District Of Columbia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-DC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14
"Florida",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Florida : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-FL-99.A",190945,203353,212610,218118,220256,223752,225416,219637,217952,229096,221895,221096,222399,230016,237413,238262,238413,244252,245195
"Florida : coal","thousand megawatthours","ELEC.GEN.COW-FL-99.A",68228,65926,67675,64862,62515,65423,67908,64823,54003,59897,51991,44286,46343,52054,42904,39429,37513,30272,21265
"Florida : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-FL-99.A",37676,28875,31267,30672,29158,15875,15633,8676,6314,5922,1383,720,498,527,582,772,512,572,311
"Florida : petroleum coke","thousand megawatthours","ELEC.GEN.PC-FL-99.A",2904,4807,5938,6583,8043,7029,4570,3295,2907,3200,1898,646,2063,1351,1568,2048,951,1506,1201
"Florida : natural gas","thousand megawatthours","ELEC.GEN.NG-FL-99.A",43570,63164,68293,76577,83595,96186,100307,103363,118322,128634,136364,149700,138966,140034,155824,158495,161105,171872,181519
"Florida : other gases","thousand megawatthours","ELEC.GEN.OOG-FL-99.A",1,13,11,15,13,17,15,10,7,8,6,6,5,7,5,5,5,5,0
"Florida : nuclear","thousand megawatthours","ELEC.GEN.NUC-FL-99.A",31583,33704,30979,31216,28759,31426,29289,32133,29118,23936,22015,17870,26526,27868,28122,29320,29146,29312,29108
"Florida : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-FL-99.A",148,184,263,265,266,203,154,206,208,177,182,151,254,211,244,175,218,233,220
"Florida : other renewables",,"ELEC.GEN.AOR-FL-99.A",,,,,,,,,,,,,,,,,,,
"Florida : wind","thousand megawatthours","ELEC.GEN.WND-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-99.A","--","--","--","--","--","--","--","--",9,80,126,194,210,242,224,224,876,2412,3909
"Florida : geothermal","thousand megawatthours","ELEC.GEN.GEO-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : biomass","thousand megawatthours","ELEC.GEN.BIO-FL-99.A",3790,3740,4474,4502,4327,4331,4303,4303,4331,4406,4544,4330,4449,4831,4919,4643,5009,5084,4497
"Florida : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Florida : other","thousand megawatthours","ELEC.GEN.OTH-FL-99.A",3046,2940,3711,3427,3579,3261,3236,2827,2733,2834,3385,3194,3086,2891,3021,3151,3078,2983,3165
"Florida : all solar",,"ELEC.GEN.TSN-FL-99.A",,,,,,,,,,,,,,,,,,,
"Florida : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-FL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",119,156,205,293,429,687
"Florida : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-FL-99.A","--","--","--","--","--","--","--","--",9,80,126,194,210,242,224,224,876,2412,3909
"Georgia",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Georgia : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-GA-99.A",118317,126512,124077,126813,136668,138010,145155,136173,128698,137577,124749,122306,120954,125837,128818,133380,127455,129239,127764
"Georgia : coal","thousand megawatthours","ELEC.GEN.COW-GA-99.A",74561,78828,78638,79943,87182,86504,90298,85491,69478,73298,60159,40715,40233,45295,37131,37890,32487,32181,25273
"Georgia : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-GA-99.A",761,671,680,402,472,252,232,272,168,155,137,73,68,180,147,114,142,279,129
"Georgia : petroleum coke","thousand megawatthours","ELEC.GEN.PC-GA-99.A",410,533,514,544,561,583,556,470,482,485,415,305,207,198,113,97,140,156,185
"Georgia : natural gas","thousand megawatthours","ELEC.GEN.NG-GA-99.A",3866,6889,4277,6130,9771,12961,16079,13428,20506,23884,26544,42539,40330,40961,50469,52862,52722,51972,58384
"Georgia : other gases","thousand megawatthours","ELEC.GEN.OOG-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : nuclear","thousand megawatthours","ELEC.GEN.NUC-GA-99.A",33682,31108,33257,33748,31534,32006,32545,31691,31683,33512,32306,33942,32903,32570,33838,34481,33709,34363,33591
"Georgia : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-GA-99.A",2596,2716,4140,3692,4032,2569,2236,2145,3260,3322,2705,2236,3714,3064,2984,3373,2410,3697,3485
"Georgia : other renewables",,"ELEC.GEN.AOR-GA-99.A",,,,,,,,,,,,,,,,,,,
"Georgia : wind","thousand megawatthours","ELEC.GEN.WND-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-99.A","--","--","--","--","--","--","--","--","--","--","--",3,14,119,129,881,1986,1996,2070
"Georgia : geothermal","thousand megawatthours","ELEC.GEN.GEO-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia : biomass","thousand megawatthours","ELEC.GEN.BIO-GA-99.A",3003,6381,3173,3192,3272,3419,3415,2782,2825,3181,3190,3276,3825,4163,4734,4573,5018,4999,5154
"Georgia : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-GA-99.A",-570,-648,-636,-878,-209,-400,-322,-157,272,-278,-734,-838,-427,-781,-815,-993,-1248,-489,-599
"Georgia : other","thousand megawatthours","ELEC.GEN.OTH-GA-99.A",8,34,33,40,53,118,115,51,25,18,28,56,88,67,87,101,87,86,93
"Georgia : all solar",,"ELEC.GEN.TSN-GA-99.A",,,,,,,,,,,,,,,,,,,
"Georgia : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-GA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",99,100,195,226,270,307
"Georgia : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-GA-99.A","--","--","--","--","--","--","--","--","--","--","--",3,14,119,129,881,1986,1996,2070
"Maryland",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"Maryland : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-MD-99.A",49062,48279,52244,52053,52662,48957,50198,47361,43775,43607,41818,37810,35851,37834,36366,37167,34104,43810,39673
"Maryland : coal","thousand megawatthours","ELEC.GEN.COW-MD-99.A",28379,28712,29939,29195,29303,29408,29699,27218,24162,23668,21059,16185,15538,17603,13926,13826,8514,10067,5722
"Maryland : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-MD-99.A",3022,2282,3572,3297,3806,581,985,406,330,322,229,137,190,463,232,161,102,260,78
"Maryland : petroleum coke","thousand megawatthours","ELEC.GEN.PC-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : natural gas","thousand megawatthours","ELEC.GEN.NG-MD-99.A",1761,2214,1196,1183,1887,1770,2241,1848,1768,2897,2311,4945,2888,2506,4555,5423,6729,13850,14839
"Maryland : other gases","thousand megawatthours","ELEC.GEN.OOG-MD-99.A",440,505,325,412,342,332,378,338,269,215,155,112,"--","--","--","--","--","--","--"
"Maryland : nuclear","thousand megawatthours","ELEC.GEN.NUC-MD-99.A",13656,12128,13691,14580,14703,13830,14353,14679,14550,13994,14397,13579,14264,14343,14643,14760,15107,14988,15013
"Maryland : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-MD-99.A",1184,1661,2647,2508,1704,2104,1652,1974,1889,1667,2547,1657,1727,1616,1623,1392,1965,2831,2205
"Maryland : other renewables",,"ELEC.GEN.AOR-MD-99.A",,,,,,,,,,,,,,,,,,,
"Maryland : wind","thousand megawatthours","ELEC.GEN.WND-MD-99.A","--","--","--","--","--","--","--","--","--",1,271,322,322,324,435,527,561,570,577
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-99.A","--","--","--","--","--","--","--","--","--",0,3,22,63,98,119,209,267,397,506
"Maryland : geothermal","thousand megawatthours","ELEC.GEN.GEO-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : biomass","thousand megawatthours","ELEC.GEN.BIO-MD-99.A",373,522,596,589,623,626,603,612,551,572,548,554,556,567,514,546,536,521,404
"Maryland : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Maryland : other","thousand megawatthours","ELEC.GEN.OTH-MD-99.A",248,255,278,289,294,305,287,286,256,270,299,296,303,313,318,323,322,326,329
"Maryland : all solar",,"ELEC.GEN.TSN-MD-99.A",,,,,,,,,,,,,,,,,,,
"Maryland : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MD-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",253,339,519,735,849,971
"Maryland : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MD-99.A","--","--","--","--","--","--","--","--","--",0,3,22,63,98,119,209,267,397,506
"North Carolina",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
"North Carolina : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NC-99.A",117496,124468,127582,126330,129749,125215,130115,125239,118407,128678,118390,116682,125936,128144,128388,130779,128468,134249,131741
"North Carolina : coal","thousand megawatthours","ELEC.GEN.COW-NC-99.A",72958,75188,74776,75546,78436,75487,79983,75815,65083,71951,59758,50932,47072,49238,39922,37436,34460,31690,30730
"North Carolina : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NC-99.A",656,592,784,611,519,451,496,320,297,293,218,178,218,460,435,251,251,633,232
"North Carolina : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,"--","--","--"
"North Carolina : natural gas","thousand megawatthours","ELEC.GEN.NG-NC-99.A",1534,3561,1580,2559,3159,3196,4457,4177,4852,8447,11155,19302,27983,28738,36545,39251,38590,43446,41777
"North Carolina : other gases","thousand megawatthours","ELEC.GEN.OOG-NC-99.A",1,1,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--"
"North Carolina : nuclear","thousand megawatthours","ELEC.GEN.NUC-NC-99.A",37775,39627,40907,40091,39982,39963,40045,39776,40848,40740,40527,39386,40242,40967,42097,42786,42374,42077,41916
"North Carolina : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NC-99.A",2596,3492,7201,5435,5397,3839,2984,3034,5171,4757,3893,3728,6901,4756,4742,4417,3818,6605,6207
"North Carolina : other renewables",,"ELEC.GEN.AOR-NC-99.A",,,,,,,,,,,,,,,,,,,
"North Carolina : wind","thousand megawatthours","ELEC.GEN.WND-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",6,471,543,523
"North Carolina : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NC-99.A","--","--","--","--","--","--","--",2,5,11,17,139,345,729,1374,3421,5114,6110,7292
"North Carolina : geothermal","thousand megawatthours","ELEC.GEN.GEO-NC-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"North Carolina : biomass","thousand megawatthours","ELEC.GEN.BIO-NC-99.A",1751,1786,1976,1733,1807,1828,1672,1920,1889,2072,2328,2564,2610,2547,2589,2556,2812,2610,2525
"North Carolina : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NC-99.A",0,25,119,78,147,131,137,-121,43,0,0,0,0,78,0,0,0,0,0
"North Carolina : other","thousand megawatthours","ELEC.GEN.OTH-NC-99.A",225,196,239,277,303,319,342,316,220,407,493,452,567,631,685,655,577,535,538
