"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-99.A",16708,19069,14776,15962,15366,15668,18752,20752,20625,24902,25201,28285,27077,31410,36974,43807,37708,38863,40589
"New Jersey : other gases","thousand megawatthours","ELEC.GEN.OOG-NJ-99.A",449,90,255,39,65,110,161,159,170,106,139,142,223,162,221,207,219,212,216
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-99.A",30469,30866,29709,27082,31392,32568,32010,32195,34328,32771,33606,33110,33380,31507,33262,29885,34033,31982,26637
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-99.A",18,12,39,38,31,35,21,26,32,18,24,11,18,17,10,9,14,36,26
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-99.A",,,,,,,,,,,,,,,,,,,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-99.A","--","--","--","--","--",16,20,21,21,13,11,12,11,23,22,21,22,23,22
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A","--","--","--","--","--","--","--",3,11,21,69,304,437,514,628,835,926,990,1217
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"New Jersey : biomass","thousand megawatthours","ELEC.GEN.BIO-NJ-99.A",844,847,907,806,875,901,823,882,928,816,876,965,999,998,946,983,929,935,805
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-99.A",-142,-146,-120,-287,-283,-299,-269,-275,-202,-194,-197,-166,-202,-237,-170,-204,-162,-115,-94
"New Jersey : other","thousand megawatthours","ELEC.GEN.OTH-NJ-99.A",459,495,502,496,538,569,489,559,520,575,644,633,625,640,582,607,583,552,616
"New Jersey : all solar",,"ELEC.GEN.TSN-NJ-99.A",,,,,,,,,,,,,,,,,,,
"New Jersey : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NJ-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--",1373,1435,1385,1660,1912,2202
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A","--","--","--","--","--","--","--",3,11,21,69,304,437,514,628,835,926,990,1217
"New York",,"ELEC.GEN..A",,,,,,,,,,,,,,,,,,,
