"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVFJBUS","199013","2047.132","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199113","2029.895","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199213","1753.9","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199313","1934.567","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199413","1795.908","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199513","2144.746","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199613","2405.139","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199713","2424.239","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199813","2193.832","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","199913","2177.319","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200013","1870.862","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200113","1501.587","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200213","1787.127","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200313","1851.488","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200413","1772.628","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200513","1780.606","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200613","1882.126","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200713","1601.885","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200813","1641.624","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","200913","1735.829","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201013","1650.728","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201113","2013.213","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201213","1686.17","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201313","1646.037","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201413","1581.618","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
"HVFJBUS","201513","1471.316","2","Conventional Hydropower, Adjustment for Fossil Fuel Equivalence","Trillion Btu"
