Draw Date,Winning Numbers,Power Play,Jackpot,Winners,State1 ,State2 ,State3,State4
8/20/2011,02 17 23 28 47 36,2,$35.8 Million,R,,,,
8/24/2011,09 13 47 49 53 39,5,$47.9 Million,R,,,,
8/27/2011,02 12 25 54 58 14,3,$62.9 Million,R,,,,
8/31/2011,13 19 35 47 57 29,5,$76.5 Million,R,,,,
9/3/2011,15 25 52 53 54 02,5,$91.5 Million,R,,,,
9/7/2011,03 05 18 27 54 13,4,$107 Million,1,MD,,,
9/10/2011,04 19 22 32 53 24,4,$20 Million,R,,,,
9/14/2011,16 41 42 50 59 05,3,$25 Million,1,GA,,,
9/17/2011,06 20 22 32 43 11,2,$20 Million,R,,,,
9/21/2011,12 47 48 52 55 13,4,$25 Million,R,,,,
9/24/2011,03 04 12 27 44 26,5,$30 Million,R,,,,
9/28/2011,30 41 50 51 53 08,2,$37.1 Million,R,,,,
10/1/2011,01 12 23 27 43 31,3,$48.9 Million,R,,,,
10/5/2011,07 20 43 46 54 17,4,$60.2 Million,R,,,,
10/8/2011,03 27 35 37 45 31,5,$74.1 Million,R,,,,
10/12/2011,10 12 23 43 47 18,3,$87.2 Million,R,,,,
10/15/2011,05 10 24 38 43 01,4,$107 Million,R,,,,
10/19/2011,16 26 35 52 58 02,5,$125 Million,R,,,,
10/22/2011,03 08 23 30 58 13,4,$148 Million,R,,,,
10/26/2011,01 18 21 39 55 06,3,$173 Million,R,,,,
10/29/2011,11 16 40 51 56 38,5,$209 Million,R,,,,
11/2/2011,12 14 34 39 46 36,4,$245 Million,1,CT,,,
11/5/2011,02 33 39 40 43 26,3,$20 Million,R,,,,
11/9/2011,05 35 57 58 59 12,3,$25 Million,R,,,,
11/12/2011,04 35 36 51 56 08,5,$35.4 Million,R,,,,
11/16/2011,13 22 25 39 51 28,2,$47.1 Million,R,,,,
11/19/2011,09 16 17 28 30 11,3,$59.9 Million,1,PA,,,
11/23/2011,04 30 35 57 59 25,2,$20 Million,R,,,,
11/26/2011,20 37 39 45 55 28,2,$25 Million,R,,,,
11/30/2011,02 06 34 35 47 22,2,$30 Million,R,,,,
12/3/2011,05 18 33 43 45 08,3,$42.2 Million,R,,,,
12/7/2011,03 14 20 39 40 37,2,$53.2 Million,R,,,,
12/10/2011,04 19 33 41 59 09,5,$67 Million,R,,,,
12/14/2011,02 24 46 52 56 19,5,$78 Million,R,,,,
12/17/2011,13 28 49 51 59 33,4,$91 Million,R,,,,
12/21/2011,10 13 15 31 54 18,5,$104 Million,R,,,,
12/24/2011,14 16 30 51 52 19,2,$128 Million,1,MD,,,
12/28/2011,16 21 27 41 45 14,2,$20 Million,R,,,,
12/31/2011,05 23 25 28 40 34,4,$25 Million,R,,,,
1/4/2012,21 35 46 47 50 02,4,$30 Million,R,,,,
1/7/2012,03 21 24 38 39 24,5,$44 Million,R,,,,
1/11/2012,05 19 29 45 47 25,2,$54 Million,R,,,,
1/14/2012,10 30 36 38 41 01,5,$66 Million,R,,,,
1/18/2012,06 29 34 44 50 28,1,$80 Million,R,,,,
1/21/2012,12 24 43 44 45 07,1,$100 Million,R,,,,
1/25/2012,04 19 28 29 47 05,1,$120 Million,R,,,,
1/28/2012,05 33 41 54 59 13,1,$146 Million,R,,,,
2/1/2012,08 13 17 34 59 35,1,$170 Million,R,,,,
2/4/2012,15 23 43 45 56 07,1,$200 Million,R,,,,
2/8/2012,17 28 38 39 51 33,1,$250 Million,R,,,,
2/11/2012,01 10 37 52 57 11,1,$336 Million,1,RI,,,
2/15/2012,11 12 32 52 56 11,1,$40 Million,R,,,,
2/18/2012,23 28 50 56 59 05,1,$50 Million,R,,,,
2/22/2012,07 16 17 39 51 32,1,$60 Million,R,,,,
2/25/2012,06 11 42 53 54 07,1,$70 Million,1,NY,,,
2/29/2012,01 04 11 23 26 14,1,$40 Million,R,,,,
3/3/2012,29 30 45 47 49 35,1,$50 Million,R,,,,
3/7/2012,12 35 45 46 47 12,1,$60 Million,1,RI,,,
3/10/2012,05 14 17 20 41 05,1,$40 Million,R,,,,
3/14/2012,01 08 41 46 59 24,1,$50 Million,R,,,,
3/17/2012,11 14 49 55 58 30,1,$60 Million,R,,,,
3/21/2012,32 43 53 55 56 06,1,$70 Million,1,NJ,,,
3/24/2012,01 15 35 37 47 08,1,$40 Million,R,,,,
3/28/2012,11 16 29 50 58 33,1,$50 Million,R,,,,
3/31/2012,05 14 36 54 58 27,1,$60 Million,R,,,,
4/4/2012,01 24 33 45 49 06,1,$70 Million,R,,,,
4/7/2012,05 13 17 20 30 18,1,$80 Million,R,,,,
4/11/2012,16 23 42 44 47 02,1,$94 Million,R,,,,
4/14/2012,14 15 16 19 24 02,1,$113 Million,R,,,,
4/18/2012,20 22 39 46 49 29,1,$131 Million,R,,,,
4/21/2012,06 08 20 42 51 16,1,$152 Million,R,,,,
4/25/2012,04 25 29 34 43 29,1,$173 Million,1,PA,,,
4/28/2012,31 39 40 57 58 33,1,$40 Million,R,,,,
5/2/2012,07 08 33 38 50 29,1,$50 Million,R,,,,
5/5/2012,09 12 20 44 59 23,1,$60 Million,R,,,,
5/9/2012,01 07 11 55 56 01,1,$70 Million,R,,,,
5/12/2012,10 24 35 53 58 22,1,$80 Million,R,,,,
5/16/2012,03 07 21 28 43 02,1,$90 Million,R,,,,
5/19/2012,08 13 35 46 51 30,1,$100 Million,R,,,,
5/23/2012,04 07 26 53 59 32,1,$110 Million,R,,,,
5/26/2012,13 14 41 49 59 14,1,$128 Million,R,,,,
5/30/2012,09 10 24 52 56 14,1,$146 Million,R,,,,
6/2/2012,09 10 17 29 45 33,1,$164 Million,R,,,,
6/6/2012,19 30 33 48 59 27,1,$177 Million,R,,,,
6/9/2012,18 22 45 56 57 27,1,$205 Million,R,,,,
6/13/2012,07 10 14 33 57 18,1,$241 Million,1,IA,,,
6/16/2012,08 14 15 16 27 26,1,$40 Million,R,,,,
6/20/2012,11 17 29 56 57 14,1,$50 Million,R,,,,
6/23/2012,01 03 41 44 53 30,1,$60 Million,1,CT,,,
6/27/2012,06 34 40 46 58 06,1,$40 Million,R,,,,
6/30/2012,07 15 20 41 44 22,1,$50 Million,R,,,,
7/4/2012,14 19 35 39 56 33,1,$60 Million,R,,,,
7/7/2012,03 05 29 39 59 29,1,$70 Million,R,,,,
7/11/2012,05 22 36 49 55 23,1,$80 Million,R,,,,
7/14/2012,04 16 32 37 46 13,1,$90 Million,R,,,,
7/18/2012,02 05 20 23 57 03,1,$100 Million,R,,,,
7/21/2012,09 31 38 54 56 20,1,$110 Million,R,,,,
7/25/2012,03 14 35 38 46 16,1,$121 Million,R,,,,
7/28/2012,05 06 13 36 50 13,1,$139 Million,R,,,,
8/1/2012,03 16 48 56 58 04,1,$158 Million,R,,,,
8/4/2012,19 30 48 53 55 18,1,$181 Million,R,,,,
8/8/2012,03 07 11 15 28 12,1,$212 Million,R,,,,
8/11/2012,04 13 39 46 51 01,1,$253 Million,R,,,,
8/15/2012,06 27 46 51 56 21,1,$337 Million,1,MI,,,
8/18/2012,14 26 41 55 59 01,1,$40 Million,R,,,,
8/22/2012,22 29 31 47 55 19,1,$50 Million,R,,,,
8/25/2012,01 06 07 20 49 23,1,$60 Million,R,,,,
8/29/2012,25 28 49 54 56 28,1,$70 Million,R,,,,
9/1/2012,08 11 21 44 49 22,1,$80 Million,R,,,,
9/5/2012,04 19 26 42 51 29,1,$90 Million,R,,,,
9/8/2012,06 20 34 44 48 29,1,$100 Million,R,,,,
9/12/2012,24 33 36 48 56 06,1,$110 Million,R,,,,
9/15/2012,03 20 26 43 48 01,1,$125 Million,R,,,,
9/19/2012,01 05 08 39 50 23,1,$149 Million,R,,,,
9/22/2012,02 16 18 40 42 33,1,$174 Million,R,,,,
9/26/2012,13 26 39 41 42 10,1,$202 Million,1,IA,,,
9/29/2012,14 18 28 29 57 08,1,$40 Million,R,,,,
10/3/2012,17 23 36 55 59 10,1,$50 Million,1,DE,,,
10/6/2012,15 26 34 36 59 35,1,$40 Million,R,,,,
10/10/2012,18 26 29 35 43 28,1,$50 Million,R,,,,
10/13/2012,02 05 25 26 49 18,1,$60 Million,R,,,,
10/17/2012,01 07 10 23 42 35,1,$70 Million,R,,,,
10/20/2012,04 21 28 31 44 10,1,$80 Million,R,,,,
10/24/2012,03 18 21 23 50 04,1,$90 Million,R,,,,
10/27/2012,22 32 34 36 56 33,1,$100 Million,R,,,,
10/31/2012,01 27 31 45 48 05,1,$110 Million,R,,,,
11/3/2012,04 07 09 30 54 25,1,$124 Million,R,,,,
11/7/2012,32 34 45 52 58 20,1,$143 Million,R,,,,
11/10/2012,32 42 50 54 55 32,1,$168 Million,R,,,,
11/14/2012,08 10 30 44 58 13,1,$185 Million,R,,,,
11/17/2012,03 15 27 58 59 20,1,$214 Million,R,,,,
11/21/2012,08 18 24 30 39 26,1,$250 Million,R,,,,
11/24/2012,22 32 37 44 50 34,1,$325 Million,R,,,,
11/28/2012,05 16 22 23 29 06,1,$587 Million,2,MO,AZ,,
12/1/2012,03 10 19 36 46 03,1,$40 Million,R,,,,
12/5/2012,13 17 19 27 38 12,1,$50 Million,1,PA,,,
12/8/2012,07 23 26 40 53 21,1,$40 Million,R,,,,
12/12/2012,08 10 25 36 44 28,1,$50 Million,2,MA,MA,,
12/15/2012,15 23 40 44 55 14,1,$40 Million,R,,,,
12/19/2012,05 08 20 23 30 03,1,$50 Million,1,KS,,,
12/22/2012,01 18 35 39 44 11,1,$40 Million,R,,,,
12/26/2012,11 13 23 43 54 04,1,$50 Million,1,FL,,,
12/29/2012,36 46 50 52 55 14,1,$40 Million,R,,,,
1/2/2013,18 20 28 35 53 20,1,$50 Million,R,,,,
1/5/2013,26 30 49 51 54 25,1,$60 Million,R,,,,
1/9/2013,11 13 20 27 59 26,1,$70 Million,R,,,,
1/12/2013,10 14 21 23 47 07,1,$80 Million,R,,,,
1/16/2013,09 21 28 32 51 35,1,$90 Million,R,,,,
1/19/2013,08 28 29 34 38 35,1,$100 Million,R,,,,
1/23/2013,11 12 24 43 45 09,1,$110 Million,R,,,,
1/26/2013,03 22 26 41 49 18,1,$130 Million,R,,,,
1/30/2013,14 16 32 47 52 16,1,$151 Million,R,,,,
2/2/2013,11 16 33 40 41 34,1,$176 Million,R,,,,
2/6/2013,05 27 36 38 41 12,1,$217 Million,1,VA,,,
2/9/2013,05 06 16 36 58 03,1,$40 Million,R,,,,
2/13/2013,12 23 25 27 43 29,1,$50 Million,R,,,,
2/16/2013,15 16 46 50 58 29,1,$60 Million,R,,,,
2/20/2013,03 17 19 25 32 17,1,$70 Million,R,,,,
2/23/2013,02 05 31 39 41 29,1,$80 Million,R,,,,
2/27/2013,03 14 20 34 48 21,1,$90 Million,R,,,,
3/2/2013,03 08 13 41 56 16,1,$103 Million,R,,,,
3/6/2013,06 10 23 41 45 01,1,$123 Million,R,,,,
3/9/2013,10 37 40 46 52 12,1,$150 Million,R,,,,
3/13/2013,05 09 28 32 38 29,1,$183 Million,R,,,,
3/16/2013,03 07 21 44 53 16,1,$216 Million,R,,,,
